40.0 40.0
22.0 22.0
36.0 26.0
21.0 45.0
45.0 35.0
55.0 20.0
33.0 34.0
50.0 50.0
55.0 45.0
26.0 59.0
40.0 66.0
55.0 65.0
35.0 51.0
62.0 35.0
62.0 57.0
62.0 24.0
21.0 36.0
33.0 44.0
9.0 56.0
62.0 48.0
66.0 14.0
44.0 13.0
26.0 13.0
11.0 28.0
7.0 43.0
17.0 64.0
41.0 46.0
55.0 34.0
35.0 16.0
52.0 26.0
43.0 26.0
31.0 76.0
22.0 53.0
26.0 29.0
50.0 40.0
55.0 50.0
54.0 10.0
60.0 15.0
47.0 66.0
30.0 60.0
30.0 50.0
12.0 17.0
15.0 14.0
16.0 19.0
21.0 48.0
50.0 30.0
51.0 42.0
50.0 15.0
48.0 21.0
2.0 38.0
15.0 56.0
29.0 39.0
54.0 38.0
55.0 57.0
67.0 41.0
10.0 70.0
6.0 25.0
65.0 27.0
40.0 60.0
70.0 64.0
64.0 4.0
36.0 6.0
30.0 20.0
20.0 30.0
15.0 5.0
50.0 70.0
57.0 72.0
45.0 42.0
38.0 33.0
50.0 4.0
66.0 8.0
59.0 5.0
35.0 60.0
27.0 24.0
40.0 20.0
40.0 37.0
